iter	Passed	Remaining
171	5889	28350
172	5929	28343
173	5964	28312
174	6002	28297
175	6040	28280
176	6076	28254
177	6112	28225
178	6147	28195
179	6185	28179
180	6220	28147
181	6251	28099
182	6284	28058
183	6321	28033
184	6355	27999
185	6389	27961
186	6422	27921
187	6453	27873
188	6485	27828
189	6525	27817
190	6559	27782
191	6594	27752
192	6628	27716
193	6664	27688
194	6700	27660
195	6736	27633
196	6772	27607
197	6808	27578
198	6844	27548
199	6880	27522
200	6914	27485
201	6950	27459
202	6984	27423
203	7020	27394
204	7052	27348
205	7080	27289
206	7119	27273
207	7152	27232
208	7186	27199
209	7225	27181
210	7262	27155
211	7295	27117
212	7329	27080
213	7366	27056
214	7398	27014
215	7432	26977
216	7466	26939
217	7503	26917
218	7543	26901
219	7581	26880
220	7616	26846
221	7651	26813
222	7682	26767
223	7717	26735
224	7749	26692
225	7784	26660
226	7815	26614
227	7845	26563
228	7873	26507
229	7904	26463
230	7938	26425
231	7968	26377
232	7999	26332
233	8030	26286
234	8063	26248
235	8094	26202
236	8123	26151
237	8154	26106
238	8183	26058
239	8214	26013
240	8250	25984
241	8283	25947
242	8314	25902
243	8342	25848
244	8371	25799
245	8409	25774
246	8440	25731
247	8468	25677
248	8504	25649
249	8541	25625
250	8581	25608
251	8618	25583
252	8651	25545
253	8687	25513
254	8726	25495
255	8759	25457
256	8792	25419
257	8825	25383
258	8859	25346
259	8898	25325
260	8935	25300
261	8968	25262
262	9005	25235
263	9044	25214
264	9078	25180
265	9110	25140
266	9143	25100
267	9177	25066
268	9213	25037
269	9243	24991
270	9276	24954
271	9310	24919
272	9346	24888
273	9386	24869
274	9421	24837
275	9452	24795
276	9489	24769
277	9528	24745
278	9562	24712
279	9594	24671
280	9627	24634
281	9664	24607
282	9697	24569
283	9735	24544
284	9767	24503
285	9802	24471
286	9834	24432
287	9866	24392
288	9899	24355
289	9932	24318
290	9964	24278
291	9999	24244
292	10030	24203
293	10060	24159
294	10091	24117
295	10122	24074
296	10152	24031
297	10182	23987
298	10210	23939
299	10236	23884
300	10268	23845
301	10304	23815
302	10334	23772
303	10362	23725
304	10390	23675
305	10416	23625
306	10450	23590
307	10477	23539
308	10507	23496
309	10537	23454
310	10571	23420
311	10601	23377
312	10633	23339
313	10659	23288
314	10688	23243
315	10727	23220
316	10760	23184
317	10795	23153
318	10830	23120
319	10866	23092
320	10902	23061
321	10937	23030
322	10973	22999
323	11010	22972
324	11043	22935
325	11076	22900
326	11112	22870
327	11148	22840
328	11180	22803
329	11212	22765
330	11246	22730
331	11274	22685
332	11309	22653
333	11342	22617
334	11377	22585
335	11415	22560
336	11452	22531
337	11487	22498
338	11518	22459
339	11556	22434
340	11590	22398
341	11622	22361
342	11657	22329
343	11694	22301
344	11727	22264
345	11764	22237
346	11798	22202
347	11833	22171
348	11867	22137
349	11902	22103
350	11938	22073
351	11970	22036
352	12003	22000
353	12038	21968
354	12072	21934
355	12105	21899
356	12142	21869
357	12178	21840
358	12209	21800
359	12247	21772
360	12283	21742
361	12318	21710
362	12354	21680
363	12395	21658
364	12430	21625
365	12471	21603
366	12513	21582
367	12550	21554
368	12590	21529
369	12629	21503
370	12664	21470
371	12702	21444
372	12736	21409
373	12767	21369
374	12802	21337
375	12835	21301
376	12867	21263
377	12902	21231
378	12935	21195
379	12973	21166
380	13006	21131
381	13039	21095
382	13073	21061
383	13104	21022
384	13133	20979
385	13162	20937
386	13191	20895
387	13221	20854
388	13254	20818
389	13283	20777
390	13315	20738
391	13345	20699
392	13376	20661
393	13408	20623
394	13439	20583
395	13470	20545
396	13501	20507
397	13537	20475
398	13573	20445
399	13603	20404
400	13632	20363
401	13668	20332
402	13699	20294
403	13734	20261
404	13771	20231
405	13807	20201
406	13841	20167
407	13876	20134
408	13906	20095
409	13938	20058
410	13968	20018
411	14002	19983
412	14039	19954
413	14071	19916
414	14102	19878
415	14135	19844
416	14172	19814
417	14200	19772
418	14233	19736
419	14266	19700
420	14304	19672
421	14342	19644
422	14381	19616
423	14412	19579
424	14448	19548
425	14486	19519
426	14523	19489
427	14558	19456
428	14585	19413
429	14629	19392
430	14664	19359
431	14696	19323
432	14729	19287
433	14761	19251
434	14799	19222
435	14835	19190
436	14868	19156
437	14902	19121
438	14935	19085
439	14968	19050
440	15000	19014
441	15034	18980
442	15070	18948
443	15109	18920
444	15142	18885
445	15171	18845
446	15200	18805
447	15233	18769
448	15267	18735
449	15297	18697
450	15325	18655
451	15353	18614
452	15387	18580
453	15419	18544
454	15449	18505
455	15478	18465
456	15506	18424
457	15550	18401
458	15588	18373
459	15619	18336
460	15646	18294
461	15673	18252
462	15709	18220
463	15746	18189
464	15778	18153
465	15812	18119
466	15847	18087
467	15884	18056
468	15923	18028
469	15954	17991
470	15985	17953
471	16015	17915
472	16048	17880
473	16083	17847
474	16113	17809
475	16143	17771
476	16175	17734
477	16210	17702
478	16248	17672
479	16281	17638
480	16315	17604
481	16347	17568
482	16377	17530
483	16414	17499
484	16444	17462
485	16481	17431
486	16513	17395
487	16559	17374
488	16592	17338
489	16628	17306
490	16666	17277
491	16701	17245
492	16738	17213
493	16771	17178
494	16803	17142
495	16835	17106
496	16875	17079
497	16912	17048
498	16944	17012
499	16976	16976
500	17012	16945
501	17046	16911
502	17075	16872
503	17108	16837
504	17144	16804
505	17180	16773
506	17213	16738
507	17251	16707
508	17284	16673
509	17314	16635
510	17354	16607
511	17391	16576
512	17424	16541
513	17455	16504
514	17487	16468
515	17531	16444
516	17566	16411
517	17603	16379
518	17641	16349
519	17681	16321
520	17721	16293
521	17763	16266
522	17797	16231
523	17830	16197
524	17863	16161
525	17893	16124
526	17924	16087
527	17954	16050
528	17983	16011
529	18017	15977
530	18048	15940
531	18080	15905
532	18111	15868
533	18142	15832
534	18171	15793
535	18203	15758
536	18233	15721
537	18262	15683
538	18295	15647
539	18331	15615
540	18366	15582
541	18396	15545
542	18424	15506
543	18456	15471
544	18490	15437
545	18522	15401
546	18556	15367
547	18589	15333
548	18620	15296
549	18656	15264
550	18688	15229
551	18719	15192
552	18750	15156
553	18780	15119
554	18823	15092
555	18859	15060
556	18893	15026
557	18925	14991
558	18959	14957
559	19000	14928
560	19031	14893
561	19057	14852
562	19091	14818
563	19126	14785
564	19161	14752
565	19190	14714
566	19227	14683
567	19259	14648
568	19296	14616
569	19332	14583
570	19364	14549
571	19397	14514
572	19433	14481
573	19473	14452
574	19509	14420
575	19546	14388
576	19585	14358
577	19616	14322
578	19651	14288
579	19684	14254
580	19716	14219
581	19753	14187
582	19792	14156
583	19827	14123
584	19860	14089
585	19894	14055
586	19928	14021
587	19964	13988
588	20002	13957
589	20035	13922
590	20068	13888
591	20105	13856
592	20141	13823
593	20174	13789
594	20207	13754
595	20238	13718
596	20269	13682
597	20303	13648
598	20331	13611
599	20360	13573
600	20391	13537
601	20420	13500
602	20451	13464
603	20480	13427
604	20508	13389
605	20535	13351
606	20568	13316
607	20597	13280
608	20632	13246
609	20668	13214
610	20698	13177
611	20729	13142
612	20762	13107
613	20798	13075
614	20831	13040
615	20868	13009
616	20900	12974
617	20938	12942
618	20970	12907
619	21001	12871
620	21032	12836
621	21060	12799
622	21096	12766
623	21128	12731
624	21159	12695
625	21191	12660
626	21225	12626
627	21265	12596
628	21296	12561
629	21330	12527
630	21363	12492
631	21400	12461
632	21441	12431
633	21475	12397
634	21513	12366
635	21559	12339
636	21600	12309
637	21632	12274
638	21667	12240
639	21699	12206
640	21733	12172
641	21766	12137
642	21800	12103
643	21836	12070
644	21868	12036
645	21901	12001
646	21940	11970
647	21972	11935
648	22008	11903
649	22041	11868
650	22077	11835
651	22115	11803
652	22146	11768
653	22180	11734
654	22218	11702
655	22255	11670
656	22290	11636
657	22324	11603
658	22358	11569
659	22396	11537
660	22423	11500
661	22461	11468
662	22496	11434
663	22528	11399
664	22566	11368
665	22604	11336
666	22645	11305
667	22689	11276
668	22727	11244
669	22761	11210
670	22794	11176
671	22826	11141
672	22859	11106
673	22891	11072
674	22928	11039
675	22960	11004
676	22987	10967
677	23017	10931
678	23052	10897
679	23085	10863
680	23117	10829
681	23151	10795
682	23186	10761
683	23219	10727
684	23253	10693
685	23284	10658
686	23313	10621
687	23341	10585
688	23377	10552
689	23408	10516
690	23437	10480
691	23469	10446
692	23499	10410
693	23535	10377
694	23571	10344
695	23606	10310
696	23636	10275
697	23663	10238
698	23696	10203
699	23725	10168
700	23756	10133
701	23788	10098
702	23816	10061
703	23849	10027
704	23884	9994
705	23911	9957
706	23940	9921
707	23975	9888
708	24009	9854
709	24042	9820
710	24072	9784
711	24104	9750
712	24135	9715
713	24166	9679
714	24195	9644
715	24228	9610
716	24261	9576
717	24293	9541
718	24329	9508
719	24363	9474
720	24397	9440
721	24428	9406
722	24462	9372
723	24496	9338
724	24528	9303
725	24561	9269
726	24600	9237
727	24635	9204
728	24665	9169
729	24701	9136
730	24737	9103
731	24773	9069
732	24807	9036
733	24836	9000
734	24867	8965
735	24899	8931
736	24934	8897
737	24963	8862
738	25000	8829
739	25033	8795
740	25058	8758
741	25090	8724
742	25122	8689
743	25149	8653
744	25183	8619
745	25213	8584
746	25244	8550
747	25273	8514
748	25301	8478
749	25329	8443
750	25357	8407
751	25386	8372
752	25412	8335
753	25443	8301
754	25473	8266
755	25504	8231
756	25535	8197
757	25569	8163
758	25597	8127
759	25628	8093
760	25662	8059
761	25694	8025
762	25725	7990
763	25760	7957
764	25791	7922
765	25825	7889
766	25862	7856
767	25895	7822
768	25923	7787
769	25956	7753
770	25982	7717
771	26010	7681
772	26042	7647
773	26073	7613
774	26103	7578
775	26124	7541
776	26154	7506
777	26184	7471
778	26213	7436
779	26244	7402
780	26279	7368
781	26311	7334
782	26349	7302
783	26383	7268
784	26416	7235
785	26448	7201
786	26483	7167
787	26515	7133
788	26551	7100
789	26593	7069
790	26632	7036
791	26665	7002
792	26699	6969
793	26734	6936
794	26768	6902
795	26799	6868
796	26835	6835
797	26868	6801
798	26903	6767
799	26935	6733
800	26970	6700
801	27006	6667
802	27041	6634
803	27077	6601
804	27110	6567
805	27133	6531
806	27168	6497
807	27203	6464
808	27237	6430
809	27274	6397
810	27305	6363
811	27332	6328
812	27366	6294
813	27398	6260
814	27435	6227
815	27474	6195
816	27510	6162
817	27550	6129
818	27589	6097
819	27627	6064
820	27668	6032
821	27706	5999
822	27739	5965
823	27771	5931
824	27799	5896
825	27831	5862
826	27861	5828
827	27889	5793
828	27917	5758
829	27947	5724
830	27976	5689
831	28011	5656
832	28041	5621
833	28072	5587
834	28102	5553
835	28133	5519
836	28165	5484
837	28195	5450
838	28227	5416
839	28256	5382
840	28288	5348
841	28317	5313
842	28345	5279
843	28376	5244
844	28402	5209
845	28430	5175
846	28462	5141
847	28493	5107
848	28523	5073
849	28557	5039
850	28589	5005
851	28619	4971
852	28648	4937
853	28681	4903
854	28711	4869
855	28743	4835
856	28778	4802
857	28809	4768
858	28836	4733
859	28866	4699
860	28897	4665
861	28932	4631
862	28969	4598
863	29001	4565
864	29036	4531
865	29069	4497
866	29099	4464
867	29136	4430
868	29167	4396
869	29196	4362
870	29226	4328
871	29260	4295
872	29292	4261
873	29326	4227
874	29358	4194
875	29395	4160
876	29429	4127
877	29462	4093
878	29495	4060
879	29528	4026
880	29565	3993
881	29604	3960
882	29637	3927
883	29668	3893
884	29703	3859
885	29735	3826
886	29766	3792
887	29799	3758
888	29832	3724
889	29860	3690
890	29889	3656
891	29923	3623
892	29960	3589
893	29995	3556
894	30029	3523
895	30065	3489
896	30092	3455
897	30121	3421
898	30152	3387
899	30179	3353
900	30209	3319
901	30236	3285
902	30264	3250
903	30290	3216
904	30319	3182
905	30349	3148
906	30375	3114
907	30404	3080
908	30431	3046
909	30457	3012
910	30486	2978
911	30516	2944
912	30545	2910
913	30577	2877
914	30606	2843
915	30640	2809
916	30678	2776
917	30713	2743
918	30753	2710
919	30786	2677
920	30821	2643
921	30856	2610
922	30889	2576
923	30920	2543
924	30953	2509
925	30985	2476
926	31015	2442
927	31045	2408
928	31074	2374
929	31106	2341
930	31138	2307
931	31174	2274
932	31208	2241
933	31244	2207
934	31276	2174
935	31310	2140
936	31342	2107
937	31376	2073
938	31407	2040
939	31440	2006
940	31475	1973
941	31513	1940
942	31546	1906
943	31577	1873
944	31604	1839
945	31640	1806
946	31667	1772
947	31701	1738
948	31738	1705
949	31772	1672
950	31802	1638
951	31835	1605
952	31869	1571
953	31903	1538
954	31933	1504
955	31962	1471
956	31995	1437
957	32025	1404
958	32055	1370
959	32087	1336
960	32123	1303
961	32159	1270
962	32198	1237
963	32233	1203
964	32266	1170
965	32298	1136
966	32328	1103
967	32361	1069
968	32398	1036
969	32427	1002
970	32465	969
971	32498	936
972	32532	902
973	32571	869
974	32611	836
975	32645	802
976	32683	769
977	32717	735
978	32765	702
979	32798	669
980	32829	635
981	32861	602
982	32890	568
983	32920	535
984	32951	501
985	32981	468
986	33008	434
987	33038	401
988	33069	367
989	33101	334
990	33133	300
991	33163	267
992	33184	233
993	33216	200
994	33247	167
995	33277	133
996	33307	100
997	33336	66
998	33364	33
999	33396	0
